Chartmetric ID,Artist,Country,Region,Continent,Pronouns,Solo/Group,Associated Labels,Label Category,Genres,Moods,Activities,Chartmetric Score,Chartmetric Rank,Career Stage,Recent Momentum,TikTok Followers,TikTok Likes,TikTok Engagement Rate,TikTok Posts,TikTok Views,Pandora Monthly Listeners,Pandora Streams,Pandora Artist Stations,Shazams,Line Music Artist Likes,Line Music Likes,Line Music Video Views,Line Music Streams,Melon Fans,Melon Video Likes,Melon Video Views,Spotify Followers,Spotify Monthly Listeners,Spotify Conversion Rate,Spotify Reach / Followers Ratio,Spotify Popularity,Spotify Playlist Reach,Spotify Playlist Count,YouTube Channel Subscribers,YouTube Channel Views,YouTube Daily Video Views,YouTube Monthly Audience,YouTube Engagement Rate,YouTube Playlist Count,Deezer Fans,Deezer Playlist Count,Deezer Playlist Reach,SoundCloud Followers,SoundCloud Streams,Apple Music Playlist Count,Amazon Music Playlist Count,Instagram Followers,Instagram Engagement Rate,Radio Spins,SiriusXM Spins,Facebook Followers,Facebook Talks,Snapchat Followers,X Followers,X Post Count,Wikipedia Views,Bandsintown Followers,Songkick Fans,Boomplay Streams,Boomplay Favorites,Genius Views,Twitch Followers,Audience Age,Audience Gender,Spotify Links
4840341,Slamy Vocals,Hungary,Eastern Europe,Europe,N/A,,Unknown Label,,"Deathcore,Death Metal,Dance","Blue,Heavy","Coffee,Morning",8.812639955,1141466,Developing,Slowing,,,,,,,,,89,,,,,,,,756,1201,0.629475,64.72x,5,48925,342,,,,,,,18,,,,,1,,,,1,,,,,,,,,,,,,,,,https://open.spotify.com/artist/5kIHyK4EUUu5j6cKXFw5I0
4269682,Nothing Noble,Denmark,Northern Europe,Europe,,Group,Unknown Label,,"Deathcore,Progressive Metal,Post-Hardcore",,,8.811108862,1141543,Developing,Slowing,,,,5,24084,,,,560,,,,,,,,2256,1838,1.227421,15.65x,9,35296,468,,,,,,,71,,,,,,,,,10,,,,,,,,,205,,,,,,,https://open.spotify.com/artist/34Ax6l7iTC4OFZMyo19iPc
11559118,Backbite,,,,,,Backbite Independent,,"Alternative Rock,Hardcore,Beatdown",,,8.808046808,1141788,Developing,Steady,,,,,,,,,28,,,,,,,,511,1095,0.466667,803.72x,7,410701,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/190tXONoWX8WcoveP8RuLL
640004,Voice Of Ruin,Switzerland,Western Europe,Europe,,Group,Unknown Label,,"Metal,Rock,European Metal",,,8.771045821,1144871,Developing,Slowing,,,,1,206,1,14470,,866,,,,,,,,2726,599,4.550918,31.71x,4,86445,352,,,,,,,1211,,,,,,,2713,,18,,,,,,,1,,458,,,,,,,https://open.spotify.com/artist/4forTjuHe6t8Ybw1Y3SEVx
3572157,Torn Soul,United States,North America,North America,,Group,Unknown Label,,"Deathcore,Metal,Rock","Heavy,Fun","Workout,Melodic",8.765286409,1145401,Developing,Slowing,,,,9,,,,,289,,,,,,,,2287,1245,1.836948,23.7x,4,54208,775,,,,,,,45,,,,,,,,,,,,,,,,,,162,,,,,,,https://open.spotify.com/artist/76TXOS9VZFnaKHf6VW5oIY
11472031,Cogitations,,,,,,Unknown Label,,"Deathcore,Death Metal,Progressive Rock","Adrenaline,Aggressive,Anthemic,Emotional,Motivational,Powerful,Soulful","Melodic,Workout",8.734295204,1148129,Developing,Slowing,,,,,,,,,180,,,,,,,,2276,718,3.169916,148.78x,5,338619,662,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,https://open.spotify.com/artist/7jYdaSBbY9upek4zyCxdh7
1392050,Creak,,,,They/Them,,Unknown Label,,"Death Metal,Deathcore,Progressive Metal",,,8.720267343,1149325,Developing,Slowing,,,,29,263420,,,,184,,,,,,,,4354,1052,4.138783,19.62x,7,85445,717,,,,,,,106,,,,,1,,,,86,,,,,,,,,766,,,,,,,https://open.spotify.com/artist/2AQpX6cdbkpljOioz0f5v6
10197051,Nora Plan,Ukraine,Eastern Europe,Europe,,,Unknown Label,,Ukrainian,,,8.658265013,1154451,Developing,Slowing,,,,,,,,,547,,,,,,,,1734,1568,1.105867,4.56x,9,7900,284,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/34QEjyOLywYergJJtUVSjT
9243794,Satanic Tea Co,,,,,Group,Unknown Label,,"Deathcore,Death Metal,Metal","Dark,Atmospheric,Ethereal,Angry,Determined,Epic",Summer,8.607907189,1158121,Developing,Slowing,,,,125,3758987,,,,379,,,,,,,,3527,1245,2.832932,25.18x,7,88797,587,,,,,,,44,,,,,,,,,7,,,,,,,,,,,,,,,,"https://open.spotify.com/artist/5RaDgBzrnWY5CN24rE5XCH, https://open.spotify.com/artist/70sEsN5hAp8TT8oBEqaknu"
3431057,Sepulchral Curse,United States,North America,North America,,Group,Unknown Label,,"Death Metal,Progressive Rock,Doom Metal",,,8.593912337,1159144,Developing,Steady,,,,1,913,,,,137,,,,,,,,3969,1187,3.343724,4.99x,11,19799,472,,,,,,,215,,,,,,,,,15,,,,,,,,,304,,,,,,,https://open.spotify.com/artist/1BErAfRIE2RyEfcgiUdLmw
9710125,Simulation Defect,,,,They/Them,,Expansion Records,,"Metal,Rock,Death Metal",,,8.523813573,1164446,Developing,Slowing,,,,,,,,,11,,,,,,,,1132,2118,0.534466,119.62x,19,135414,309,,,,,,,7,,,,,,,,,1,,,,,,,,,,,,,,,,https://open.spotify.com/artist/4qfVotME69mQnnQC6yrnYK
6388510,Utilize The Remains,New Zealand,Oceania,Oceania,,,Distrokid,,"Death Metal,Deathcore,Brutal Death Metal",,,8.503482331,1165949,Developing,Slowing,,,,,,,,,45,,,,,,,,1827,756,2.416667,20.28x,6,37058,446,,,,,,,29,,,,,,,,,2,,,,,,,,,,,,,,,,https://open.spotify.com/artist/0cwVd3Xm1Px4exP0TyAft7
10389517,Wasted Flesh,United States,North America,North America,,,Unknown Label,,"Deathcore,Dance,Electronic","Heavy,Dark","Melodic,Workout",8.420535365,1172304,Developing,Slowing,,,,,,,,,116,,,,,,,,1132,1778,0.63667,21.64x,7,24493,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/7ouUCMF2UEoorSLQVyGlDk
11121500,Callout,,,,,,Unknown Label,,"Hardcore,Beatdown,Death Metal",,,8.407483097,1173932,Developing,Cooling,,,,,,,,,446,,,,,,,,1197,578,2.070934,10.96x,5,13119,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/5PFkAH2D4bsXfK8C5979bV
3845992,Beneath a Steel Sky,United Kingdom,Western Europe,Europe,,Group,Unknown Label,,"Rock,UK Rock",,,8.341331779,1179031,Developing,Slowing,,,,,,,,,374,,,,,,,,2086,2164,0.963956,2.64x,9,5508,136,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,https://open.spotify.com/artist/1QRRcsxUk55o21mlH2DGHM
3492542,From Dusk to Dawn,France,Western Europe,Europe,,Group,Unknown Label,,"Deathcore,Progressive Metal,Progressive Rock",,,8.289708961,1183265,Developing,Slowing,,,,,,,,,471,,,,,,,,1831,1199,1.527106,182.54x,4,334237,350,,,,,,,162,,,,,,,,,,,,,,,,,,171,,,,,,,https://open.spotify.com/artist/31vO7MtYSmvlo3QUH31Ss8
11805034,SPENT CASE,,,,,,Unknown Label,,"Hardcore,Beatdown,Goregrind",,,8.279987815,1184083,Developing,Slowing,,,,,,,,,7,,,,,,,,990,541,1.829945,7.47x,3,7399,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/2frLgJzeFBplaljPnaKayU
1374680,Helfró,,,,,Group,Unknown Label,,"Deathcore,Death Metal,Alternative Rock",,,8.269243083,1184988,Developing,Slowing,,,,7,847,,,,315,,,,,,,,4065,650,6.253846,14.71x,6,59789,604,,,,,,,204,,,,,,,,,20,,,,,,,,,,,,,,,,https://open.spotify.com/artist/3LNnSSzoPPdyJT437coBFn
11543183,Griefgod,,,,,,Unknown Label,,"Deathcore,Death Metal",,,8.254355587,1186357,Developing,Slowing,,,,,,,,,113,,,,,,,,1845,730,2.527397,18.78x,5,34658,197,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,https://open.spotify.com/artist/1ZvTMCLeW2k9tCTjWqN1mS
