,original_name,url,artist_id
horns,Horns,https://open.spotify.com/artist/2kfsTSmYcCZa0UXjpRi6Ow,2kfsTSmYcCZa0UXjpRi6Ow
basterds,Basterds,https://open.spotify.com/artist/6xVKy3vtmK37fIthk9ic3o,6xVKy3vtmK37fIthk9ic3o
arkángel,Arkángel,https://open.spotify.com/artist/7oqi2LqmRQJ9rtj52YgIlK,7oqi2LqmRQJ9rtj52YgIlK
torn from oblivion,Torn From Oblivion,https://open.spotify.com/artist/5IXqeHYM84k26hwnTNDuZS,5IXqeHYM84k26hwnTNDuZS
absurd,Absurd,https://open.spotify.com/artist/0h8HY1OBhsozbbh0xU7LXQ,0h8HY1OBhsozbbh0xU7LXQ
pillars of autumn,Pillars of Autumn,https://open.spotify.com/artist/76CrlDiJhyYdZLzTx8oY0A,76CrlDiJhyYdZLzTx8oY0A
trvsh,TRVSH,https://open.spotify.com/artist/1LphWUG3zLcpwC584C32qG,1LphWUG3zLcpwC584C32qG
draven,Draven,https://open.spotify.com/artist/7vZ5ihO2B5uR2cvEO7CWSt,7vZ5ihO2B5uR2cvEO7CWSt
fracture,FRACTURE,https://open.spotify.com/artist/7sjRnhONmeFL1tmlUvdq70,7sjRnhONmeFL1tmlUvdq70
mirabi frame,Mirabi Frame,https://open.spotify.com/artist/3JnHTeBoA42hEQtEpScYt2,3JnHTeBoA42hEQtEpScYt2
retromorphosis,Retromorphosis,https://open.spotify.com/artist/0fBVXSuBO4MlVPMmugfW7L,0fBVXSuBO4MlVPMmugfW7L
nathan james,Nathan James,https://open.spotify.com/artist/0yvTRHK90NHy9NI4RhEEYS,0yvTRHK90NHy9NI4RhEEYS
voidfallen,Voidfallen,https://open.spotify.com/artist/4eWXxCQ177IPhc5P56RieY,4eWXxCQ177IPhc5P56RieY
nerveless,Nerveless,https://open.spotify.com/artist/2eZVzpqC41qs4cq7Ku0mTM,2eZVzpqC41qs4cq7Ku0mTM
sinizter,Sinizter,https://open.spotify.com/artist/5owshUGXR3vxuTQqfo28Q8,5owshUGXR3vxuTQqfo28Q8
imperishable,Imperishable,https://open.spotify.com/artist/0V9iSPRTE4WRgXZ6DPZAsC,0V9iSPRTE4WRgXZ6DPZAsC
maestrick,Maestrick,https://open.spotify.com/artist/5zsg4P6lTHHjQwTCzn74sX,5zsg4P6lTHHjQwTCzn74sX
unreqvited,Unreqvited,https://open.spotify.com/artist/1ZYRTJCj869ya07OpEAlGR,1ZYRTJCj869ya07OpEAlGR
halt or i'll shoot!,Halt Or I'll Shoot!,https://open.spotify.com/artist/468QswTCDtVjx5eHSrs4Q9,468QswTCDtVjx5eHSrs4Q9
flaccid genitals,Flaccid Genitals,https://open.spotify.com/artist/17qWFTTFR8C0jlnVo1r2zv,17qWFTTFR8C0jlnVo1r2zv
pure hate,Pure Hate,https://open.spotify.com/artist/1KGfgZyUDfSuE1hPToBbo6,1KGfgZyUDfSuE1hPToBbo6
open kasket,Open Kasket,https://open.spotify.com/artist/5SMXhyH6Z377dagl3oh8cq,5SMXhyH6Z377dagl3oh8cq
descarnado,Descarnado,https://open.spotify.com/artist/54v7BpwM187QiAXvivhqqB,54v7BpwM187QiAXvivhqqB
staticlone,Staticlone,https://open.spotify.com/artist/5qjpZpwuGtOkwajRLirQpK,5qjpZpwuGtOkwajRLirQpK
pathogenic,Pathogenic,https://open.spotify.com/artist/4VxcDWS0jI6ATP6mMKvuYz,4VxcDWS0jI6ATP6mMKvuYz
mutagenic host,Mutagenic Host,https://open.spotify.com/artist/1wCbLCKRVkWAmC9wNWEAbd,1wCbLCKRVkWAmC9wNWEAbd
ex deo,Ex Deo,https://open.spotify.com/artist/7jBfzxUkrHRmy6EezZuegA,7jBfzxUkrHRmy6EezZuegA
inimical drive,Inimical Drive,https://open.spotify.com/artist/5sonzPrYbTzF9ehyQaBKkj,5sonzPrYbTzF9ehyQaBKkj
dark watch,Dark Watch,https://open.spotify.com/artist/4SHtvWSnrLeO9L14XKyvax,4SHtvWSnrLeO9L14XKyvax
sakura,SAKURA,https://open.spotify.com/artist/54Ue9wxRtRQFYcys8fe3ZV,54Ue9wxRtRQFYcys8fe3ZV
violent end,Violent End,https://open.spotify.com/artist/1pCwQLcfOgQLaYAGWYr9dA,1pCwQLcfOgQLaYAGWYr9dA
znous,Znous,https://open.spotify.com/artist/3Z5dr3yRC0mbwGzkGoCYyx,3Z5dr3yRC0mbwGzkGoCYyx
denouement.,Denouement.,https://open.spotify.com/artist/6PZf7Al3nmgU0lJPThIodm,6PZf7Al3nmgU0lJPThIodm
shell shock,Shell Shock,https://open.spotify.com/artist/3OQSGtX8rYSbFIe4x3fDif,3OQSGtX8rYSbFIe4x3fDif
livealie,Livealie,https://open.spotify.com/artist/5Ck7nbwgyYJubl5wxBW4ML,5Ck7nbwgyYJubl5wxBW4ML
the defect,THE DEFECT,https://open.spotify.com/artist/1evFjl4E6CgPNPjSpN2wzA,1evFjl4E6CgPNPjSpN2wzA
the rising tide,The Rising Tide,https://open.spotify.com/artist/6J5BtB2LbBfRFl91rOoXEB,6J5BtB2LbBfRFl91rOoXEB
scalpture,Scalpture,https://open.spotify.com/artist/24ayf6ObGs5kWru2VHRCjv,24ayf6ObGs5kWru2VHRCjv
the deserted,The Deserted,https://open.spotify.com/artist/2XEFLskbiLeELMMDp1tHmS,2XEFLskbiLeELMMDp1tHmS
love like enemies,Love Like Enemies,https://open.spotify.com/artist/2VCRd5F9I0nurK4HrSpVM2,2VCRd5F9I0nurK4HrSpVM2
bvck bend,BVCK BEND,https://open.spotify.com/artist/0W4hHxZwuN3dO56O1znI5t,0W4hHxZwuN3dO56O1znI5t
